id,stateName,senator1,senator1Twitter,senator2,senator2Twitter,allCount,allShare,AllShareOfTotal,age20UpCount,age20UpShare,age20UpShareOfTotal,ageTeenagerCount,ageTeenagerShare,ageTeenagerShareOfTotal,age16To24Count,age16To24Share,age16To24ShareOfTotal,age25To39Count,age25To39Share,age25To39ShareOfTotal,age40To54Count,age40To54Share,age40To54ShareOfTotal,age55UpCount,age55UpShare,age55UpShareOfTotal,blackOrHispanicCount,blackOrHispanicShare,blackOrHispanicShareOfTotal,blackOrHispanicMenCount,blackOrHispanicMenShare,blackOrHispanicMenShareOfTotal,blackOrHispanicWomenCount,blackOrHispanicWomenShare,blackOrHispanicWomenShareOfTotal,marriedParentsCount,marriedParentsShare,marriedParentsShareOfTotal,singleParentsCount,singleParentsShare,singleParentsShareOfTotal,dadsCount,dadsShare,dadsShareOfTotal,momsCount,momsShare,momsShareOfTotal,menCount,menShare,menShareOfTotal,menOfColorCount,menOfColorShare,menOfColorShareOfTotal,womenOfColorCount,womenOfColorShare,womenOfColorShareOfTotal,poorCount,poorShare,poorShareOfTotal,povertyCount,povertyShare,povertyShareOfTotal,otherRaceCount,otherRaceShare,otherRaceShareOfTotal,blackCount,blackShare,blackShareOfTotal,hispanicCount,hispanicShare,hispanicShareOfTotal,whiteCount,whiteShare,whiteShareOfTotal,womenCount,womenShare,womenShareOfTotal
NH,New Hampshire,Jeanne Shaheen (D),@SenatorShaheen,Maggie Hassan (D),@SenatorHassan,"173,000",0.255,1.000,"145,000",0.224,0.837,"28,000",0.905,0.163,"74,000",0.763,0.429,"46,000",0.249,0.264,"26,000",0.117,0.151,"27,000",0.156,0.156,"13,000",0.377,0.075,"5,000",0.298,0.029,"7,000",0.478,0.040,"18,000",0.112,0.104,"17,000",0.340,0.099,"8,000",0.075,0.046,"27,000",0.258,0.157,"68,000",0.198,0.393,"9,000",0.262,0.052,"13,000",0.463,0.077,"38,000",0.637,0.220,"20,000",0.795,0.113,"10,000",0.326,0.056,*,*,*,"10,000",0.387,0.056,"151,000",0.245,0.871,"105,000",0.315,0.607
NJ,New Jersey,Robert Menendez (D),@SenatorMenendez,Cory Booker (D),@CoryBooker,"1,123,000",0.255,1.000,"1,013,000",0.237,0.902,"110,000",0.916,0.098,"374,000",0.749,0.333,"369,000",0.262,0.328,"219,000",0.147,0.195,"161,000",0.162,0.143,"609,000",0.402,0.542,"277,000",0.357,0.247,"332,000",0.450,0.296,"154,000",0.129,0.137,"146,000",0.404,0.130,"89,000",0.113,0.079,"211,000",0.274,0.188,"474,000",0.210,0.422,"317,000",0.296,0.282,"385,000",0.389,0.342,"286,000",0.623,0.255,"159,000",0.780,0.141,"92,000",0.170,0.082,"174,000",0.324,0.155,"435,000",0.445,0.387,"421,000",0.180,0.375,"649,000",0.303,0.578
NM,New Mexico,Martin Heinrich (D),@MartinHeinrich,Tom Udall (D),@SenatorTomUdall,"363,000",0.393,1.000,"335,000",0.377,0.924,"28,000",0.785,0.076,"112,000",0.804,0.307,"128,000",0.417,0.352,"71,000",0.256,0.197,"52,000",0.261,0.144,"233,000",0.474,0.642,"107,000",0.417,0.295,"126,000",0.536,0.347,"58,000",0.274,0.160,"58,000",0.519,0.160,"40,000",0.250,0.109,"76,000",0.465,0.210,"159,000",0.336,0.439,"125,000",0.410,0.343,"153,000",0.529,0.422,"117,000",0.677,0.323,"81,000",0.845,0.224,"45,000",0.441,0.123,"7,000",0.393,0.018,"226,000",0.476,0.624,"85,000",0.258,0.234,"204,000",0.454,0.561
NY,New York,Kirsten Gillibrand (D),@SenGillibrand,Chuck Schumer (D),@SenSchumer,"1,183,000",0.125,1.000,"1,082,000",0.118,0.915,"101,000",0.405,0.085,"385,000",0.344,0.325,"400,000",0.122,0.338,"225,000",0.074,0.190,"173,000",0.086,0.147,"333,000",0.104,0.281,"161,000",0.100,0.136,"173,000",0.108,0.146,"159,000",0.073,0.135,"147,000",0.184,0.125,"98,000",0.067,0.083,"209,000",0.136,0.176,"507,000",0.107,0.428,"213,000",0.098,0.180,"237,000",0.111,0.200,"315,000",0.266,0.267,"196,000",0.331,0.165,"116,000",0.105,0.098,"124,000",0.095,0.104,"210,000",0.110,0.177,"734,000",0.143,0.620,"677,000",0.144,0.572
NC,North Carolina,Thom Tillis (R),@SenThomTillis,Richard Burr (R),@SenatorBurr,"1,587,000",0.355,1.000,"1,468,000",0.340,0.925,"119,000",0.784,0.075,"458,000",0.778,0.289,"566,000",0.386,0.357,"332,000",0.221,0.209,"231,000",0.252,0.145,"735,000",0.523,0.463,"344,000",0.499,0.217,"391,000",0.547,0.246,"238,000",0.213,0.150,"238,000",0.532,0.150,"155,000",0.207,0.098,"320,000",0.394,0.202,"686,000",0.304,0.432,"383,000",0.464,0.241,"448,000",0.529,0.282,"518,000",0.692,0.327,"310,000",0.854,0.195,"96,000",0.357,0.060,"456,000",0.474,0.287,"279,000",0.632,0.176,"757,000",0.270,0.477,"901,000",0.406,0.568
ND,North Dakota,Kevin Cramer (R),@kevincramer,John Hoeven (R),@SenJohnHoeven,"109,000",0.287,1.000,"93,000",0.256,0.850,"16,000",0.901,0.150,"49,000",0.702,0.445,"30,000",0.237,0.274,"14,000",0.138,0.128,"17,000",0.201,0.152,"11,000",0.496,0.101,*,*,*,*,*,*,"14,000",0.145,0.129,"10,000",0.357,0.093,"6,000",0.097,0.056,"18,000",0.289,0.167,"43,000",0.218,0.398,"11,000",0.368,0.096,"12,000",0.504,0.109,"28,000",0.631,0.253,"21,000",0.833,0.196,"11,000",0.379,0.103,*,*,*,"7,000",0.500,0.061,"87,000",0.265,0.795,"66,000",0.363,0.602
OH,Ohio,Sherrod Brown (D),@SherrodBrown,Rob Portman (R),@senrobportman,"1,849,000",0.349,1.000,"1,666,000",0.328,0.901,"183,000",0.810,0.099,"607,000",0.794,0.329,"594,000",0.358,0.321,"341,000",0.202,0.184,"307,000",0.258,0.166,"408,000",0.510,0.221,"181,000",0.479,0.098,"227,000",0.538,0.123,"234,000",0.184,0.127,"260,000",0.511,0.140,"132,000",0.154,0.072,"361,000",0.391,0.195,"740,000",0.276,0.400,"220,000",0.438,0.119,"277,000",0.521,0.150,"509,000",0.705,0.275,"318,000",0.865,0.172,"89,000",0.380,0.048,"302,000",0.503,0.163,"106,000",0.532,0.057,"1,352,000",0.317,0.731,"1,109,000",0.423,0.600
OK,Oklahoma,James Inhofe (R),@JimInhofe,James Lankford (R),@SenatorLankford,"602,000",0.351,1.000,"537,000",0.326,0.891,"65,000",0.941,0.109,"209,000",0.808,0.347,"202,000",0.348,0.336,"110,000",0.213,0.183,"81,000",0.227,0.134,"166,000",0.533,0.276,"79,000",0.464,0.131,"87,000",0.616,0.145,"97,000",0.219,0.161,"86,000",0.496,0.143,"53,000",0.169,0.087,"131,000",0.427,0.217,"245,000",0.273,0.407,"121,000",0.393,0.202,"153,000",0.547,0.255,"195,000",0.646,0.323,"120,000",0.872,0.200,"108,000",0.392,0.180,"60,000",0.487,0.100,"106,000",0.562,0.177,"327,000",0.291,0.544,"357,000",0.437,0.593
OR,Oregon,Jeff Merkley (D),@SenJeffMerkley,Ron Wyden (D),@RonWyden,"319,000",0.176,1.000,"294,000",0.168,0.921,"25,000",0.397,0.079,"103,000",0.422,0.323,"108,000",0.171,0.339,"62,000",0.110,0.194,"46,000",0.122,0.145,"86,000",0.289,0.270,"47,000",0.275,0.147,"39,000",0.309,0.122,"55,000",0.123,0.173,"36,000",0.236,0.114,"35,000",0.113,0.109,"57,000",0.193,0.178,"146,000",0.155,0.458,"57,000",0.224,0.179,"52,000",0.243,0.163,"105,000",0.360,0.330,"66,000",0.450,0.206,"24,000",0.137,0.075,"3,000",0.102,0.010,"82,000",0.312,0.258,"210,000",0.156,0.657,"173,000",0.199,0.542
PA,Pennsylvania,Bob Casey Jr. (D),@SenBobCasey,Pat Toomey (R),@PatToomey,"2,004,000",0.339,1.000,"1,795,000",0.316,0.896,"209,000",0.945,0.104,"645,000",0.829,0.322,"611,000",0.332,0.305,"381,000",0.202,0.190,"367,000",0.261,0.183,"491,000",0.511,0.245,"223,000",0.477,0.111,"269,000",0.544,0.134,"253,000",0.181,0.126,"240,000",0.479,0.120,"135,000",0.145,0.067,"359,000",0.367,0.179,"794,000",0.266,0.396,"268,000",0.427,0.134,"333,000",0.515,0.166,"488,000",0.711,0.244,"286,000",0.873,0.142,"110,000",0.350,0.055,"266,000",0.471,0.133,"225,000",0.568,0.112,"1,403,000",0.303,0.700,"1,211,000",0.413,0.604
